,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc
blanco,137.9164628023535,11873.73954415591,6090.869974039514,5920.7369377289615,-1188.7825604319978,-2238.973645066663,-1174.3806011093016,9464.837715944765,1411.564055357207,18.188096576509572,5.0298622210502435,-30904.783573047924,-3.493763517185659e-05,0.04584358115450661,-0.010675444565971859,-0.033730240365114135,0.022059264694716238,-0.2551194783696467,-0.05129070888103758,0.20372580615604446,-2.2099573426912094,1.1429127275195348,-0.3751645575257341,0.6935993214950906,355.4133433864068,5.838123905305135,0.8204566905109424,13.888213823551261,5.72198291531739,98.80738532752144,23.81820862958006,50.166576168410316,1.4727851109651329
berry,25.458278258600714,1321.1494513607358,5285.947342057553,-9528.193609145092,3350.1202832649537,77.22684845197045,1091.1689842984392,3618.2007079158193,-5921.123883778195,22.26565927082565,-0.0031524974803556725,-55372.113749862256,-0.0007574269078935126,0.43521046319758916,0.03734680146210767,-0.003953087498059109,-0.008338619587286239,2.2315479893408634,0.39681582871451687,0.2554301638222648,3.7283587703768695,0.6604622727493554,-0.5877231817927813,-1.795754999612186,-42.87182195627703,0.11942462397704823,0.1090093559659828,-60.44703389836776,-1.6993848271985585,-127.15825408985833,14.584881898527101,-23.466316176523435,-3.4639539440017333
frozen,58.89165973662645,1945.1074414338518,1758.8120576509798,47.415064706437875,387.6603979607886,12767.426193461331,21159.490423948148,-1242.179425393884,1553.9692812755281,8.019470788561916,-0.024669236392939504,-13650.934132810351,0.00018606251536798263,-0.00519216567181894,-0.0005176056602804041,0.02281680501636853,0.03467591921501166,-0.48762770444636355,-0.8110067516424031,-0.031511006439614256,-2.259646575169905,-1.3478298224085228,0.3345897937300343,-0.07378365350109209,-4.065704356561297,-46.87261680574399,0.9236348409930487,-1.2581913685845318,-13.155456301641761,-46.02682710155478,-12.748352986706115,-28.391920251968052,-0.8587419088264565
bagel,205.04417980084358,2347.024141089159,1129.2410287207917,1097.398668970973,-163.33180068831126,35642.05498964272,3074.142108442176,9017.490702626144,1884.4532923523593,-6.20844396184356,0.28118980636488283,21326.53417440144,0.0003899680395589216,0.2208941901185057,0.1284045679835449,0.015100269344484907,0.14306542489197888,3.132214862420713,0.8260332724747105,0.07364562717661419,-1.3006783627223577,0.03832185100364874,0.042005592562790156,0.12253098484950911,6.072294287858992,3.556523252913511,0.9988728656478948,7.606533172043413,11.109397005037799,55.656988820232215,-15.85286746464186,48.413333966467164,0.4354894794919171
ham,20.263461179476373,3837.0598090730186,1640.9114236448647,2618.1835250176064,-103.41148816142231,-7063.801526999992,-2190.7115096298644,2050.1980465254646,-3263.0572358770373,24.465424493035616,0.3409009715668331,2274.435180443048,-0.0003940759084250041,0.15553696729808808,-0.024239452171449988,0.01620483851730918,0.06903234266731713,0.5802268567416378,0.01930589503085292,0.008594896928890317,-2.3066345653022946,-0.48339985552077014,0.015140372383093962,0.42896739607146533,-2.753003985139177,-5.659983532116189,-0.040214922064427006,-10.554474196183648,-2.7401017919623074,30.45458221963286,-67.04030797640624,-14.627369439359448,0.1686609056287287
grigio,-26.438912832215202,5.265381109094051,1599.4394287739972,-81.96817171311733,-141.28761100061126,-6814.675158956974,773.4092526613725,-1073.7686707191735,-564.7969893231234,1.4276745796339014,-0.030434238396630828,7426.62545046292,0.0015048111682437976,0.01442166929600559,-0.03103918625719224,-0.005353348090266287,0.015582499138457745,0.17442898321824485,-0.34941996767999683,-0.04212117878532657,4.832593761674708,-1.5553023912701611,0.05516171144778041,-0.09555667061489184,-2.722621305256261,-4.85782110052733,-0.27696943349720216,0.2096917750839129,-3.8428160965890674,-4.968039907136836,-34.65738559511162,-32.82806914389324,-0.09379439942195486
creamy,88.90379137161246,17018.79333630543,2326.7740163200606,5074.501085555689,6611.268418736523,-4557.640606981024,-5362.063417037809,-6470.143387740061,-2318.3420347244114,11.294510642247177,-0.07218852713488208,-91087.95294160157,-0.0002149182862330346,0.05798851387233407,-0.021966996696822193,0.006306841029075845,-0.3078103535274109,-1.077183918546204,-0.8645301239326955,-0.15748497268449152,-27.54893235731741,3.145906876204879,1.5732204974375334,-9.676354385496564,-84.58923949556495,-1.6348994297934059,-0.9648922112027842,-11.987289206877163,-9.064060760242935,-37.70520146005252,51.20389351962527,-85.31196658788339,-0.31072197320075834
grenadine,54.00000000000041,3.637978807091713e-12,6.889422365929931e-11,-5.4569682106375694e-12,-2.5693225325085223e-11,13400.000000000013,9300.000000000007,-1.3983481039758772e-11,-5.002220859751105e-12,-3.197442310920451e-14,0.03800000000000012,6500.000000000085,-7.15573433840433e-18,-4.3021142204224816e-16,9.367506770274758e-17,4.7704895589362195e-17,0.06400000000000033,-2.7200464103316335e-15,9.71445146547012e-16,-1.942890293094024e-16,3.9968028886505635e-14,5.440092820663267e-15,-2.9976021664879227e-15,3.552713678800501e-15,1.2000000000002267,0.043999999999784656,0.010999999999991461,0.8000000000000282,2.398081733190338e-14,0.7999999999997627,5.600000000000307,0.05099999999993088,0.06599999999999615
florida,28.43890563423963,2039.4260131776273,839.012177586163,93.62162027270551,365.5103411192114,-4049.900855730426,-765.3912006340705,5961.421132448298,-1022.4865902293689,16.593480183339864,0.0643183642517691,8541.321135051126,-0.0006227872885271824,0.17395301066571703,0.015459249386321483,-0.007988527803423393,-0.01185035370768528,0.2397537799111651,0.4074783417470389,-0.023549964256742148,-5.286011685020034,0.045706823216910275,-0.13203379738310306,0.04216870132695917,12.743911090020358,-0.7903005968200192,-0.3650256994144301,3.419113562864119,-1.582744365663175,73.4256181775026,136.43959433594483,-9.348838669187732,-0.1385689660047036
squab,-256.2466154008907,-20920.091553077677,3518.731468862853,-8870.931741498982,-2781.111356377163,-11594.546155848586,-1200.5108519814369,-18157.807045863843,-3692.681157180133,-4.16381105873635,-0.03915635552935681,-79056.77276376734,0.00026157070217337373,-0.26708352066437746,0.04289765440160298,-0.018887345262613934,-0.5093348868935811,-5.371100365550674,-0.41951790139355194,-0.30888952348468135,-1.8153115767875043,-0.6589912947403587,-1.340241305616007,0.43126222140249115,-46.49383550484423,11.865827557862403,-0.17296262002571927,-44.012798501089236,3.9978339686605735,-161.95349496688112,-607.3383995857279,61.22554107331311,-2.957576848877515
chop,-259.59512721831595,-21481.07634852356,-6603.605421959765,-8647.558066467043,-1950.1380124874622,1199.1797655317291,288.4706240212613,-16507.842261670434,427.58172029794224,-85.67298073618187,-0.2090088646381501,-44485.03699441752,-1.2664196061244184e-05,0.2637219945958151,-0.21242943222890576,0.012851751183794793,-0.030709349306391825,2.2268783409584403,-4.603273838717476,-0.7661245929109983,-1.0257003019939237,0.380540400223212,-0.11243139399175198,-0.2028344028231142,-4.920383516579676,-4.743806356806912,-2.1968773852671815,0.6128968997950678,-13.402472248213638,32.85701542581161,-127.5015584101945,-181.2710471496667,-1.7222638227795144
