,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc
parfait,-8.472581975904669,-1214.2462709218628,3029.91676700451,-742.5300807114478,35.72501409902861,673.8079877475436,9112.433664841654,-1893.603091987643,1475.7300329462769,-12.967056949969013,-0.10692148047286829,-16559.867665061127,-0.0005563075292234795,0.01602603329744387,-0.030360178754706424,0.055214454827458556,0.030858061053272788,0.21082570881651486,-0.890057787736405,0.20355610972137617,16.38624635392358,-1.0091209009027016,0.5024046409658607,-0.25766718544022627,-18.46326855245582,-49.43101282899762,1.1477775475243557,0.36548801777592743,-12.988084816390275,-54.38472868351829,-85.53557232206497,-27.169436607664203,0.09739656361420283
ball,7.000000000004314,-36.36363636345822,56.72727272751438,-5.454545454478374,125.09090909095143,2190.9090909093625,-6909.090909090767,90.9090909091181,163.63636363638335,2.4976045295661343e-12,-0.028090909090900718,24509.090909091523,8.469462720298646e-17,0.20981818181818512,0.043363636363677856,-0.002363636363630805,0.047636363636370485,0.5730909090909406,-0.10000000000001916,0.02727272727272258,-4.818181818181727,-11.818181818181774,-0.017454545454523736,-0.024000000000021015,6.349454545455717,-2.8324545454546968,0.02400000000001923,5.5090909090912605,-3.798272727272852,4.888363636366216,238.4818181818221,-85.9580000000005,0.08509090909094025
butt,332.8266944162599,13778.284747263508,5893.245670957122,3357.742585572171,3098.917921057523,-3156.1926045626,511.6159877953584,47832.67232504317,-1187.8093356706786,206.30860515060567,0.3927144742748489,193073.7877074456,0.0009027746164104626,0.9630270343450282,0.18037005368262093,0.041051887609167045,0.8571414415708901,11.917062726460996,8.622468237230452,2.1224300006962418,0.18463036449329162,-0.7368495222724661,0.05962682727928074,0.10909706745924927,-21.453749053303024,12.688434442830362,2.3296772059938657,40.2961227100596,13.67641805419992,410.9002575778145,704.0052528970205,170.10331362843235,2.8786002527573253
pastrami,-50.69946659972227,-357.00841090251015,-1996.8491508166424,-432.14329734256887,531.5471481438132,-2728.317254696292,1753.98135477855,-6706.604581079064,-219.84669833651301,19.120291752319872,0.019537245841447972,-4433.0469281287105,0.00041015630785716945,0.02892070900693363,0.054367050005072026,0.0320882210967434,0.11007055343601166,-2.011249755577604,0.3649587170254663,-0.11940662382769796,2.1596137403275892,0.45148341984539897,0.19139268166803486,-0.039981831947471916,-19.850805007139154,3.86998993136031,0.21171245777698944,-9.125149901936227,1.5879248615224248,-49.451674053980554,-163.6066846417469,5.214358582823752,-0.25762115490639304
sunflower,42.70733936133293,9009.265251450226,-1740.8322488232395,3393.7870328101194,8540.31005935366,-10319.468101701123,943.9297161495197,2125.873162670926,2304.950795717815,-5.051097469962478,0.167656930961524,52150.72609770676,-0.0016783793101004228,0.13125225211050837,0.07713757478297603,0.004059849110594184,0.041397631239041714,0.9437795542425692,2.4143351822692054,0.3703315423832002,0.6083398130643496,5.631338695896831,3.180779385062819,2.2214791845277673,23.643128782285437,11.62298158852737,1.16708864377063,8.356691545019249,7.249835693728781,202.53181186471613,29.777831339448873,136.73490259435567,0.9954680135327219
mace,-96.30395687699423,-8946.079132007571,2713.349155712011,-6809.016397804548,-855.8944629917407,8997.6618610902,1155.0843726763023,-13761.659480233726,2484.355328989683,-42.77984592989294,0.19221980777210257,-24317.770336804773,0.0008191426651588302,0.15166951871258508,-0.028699638016791193,0.004017795814305184,0.18191894113799512,0.18509777026371244,-1.9664794888194075,-0.4167622113545574,8.723992483401114,-0.8310085474963083,0.19280639037772845,-0.1325905951652976,-6.712802855972532,-5.194102984548633,1.4088334317654938,15.282754242004533,-7.152261574593982,-18.41461482349363,-96.86653098567707,-163.65004274519106,-1.1290303730002023
spinach,-31.61400393705396,-1286.083689473321,-658.6089192955609,-648.6599083984224,-177.55113013364058,-2365.947736464809,-1267.859424475826,-938.067886530443,457.5811653197869,-17.291488230165726,0.01234734610927855,39551.46873383893,-0.0012325615586446985,-0.06411354352232568,0.04624608466086555,0.02305033359746187,-0.08552087000927716,-0.18271068366843587,-0.06218517804550047,0.033260272547666225,25.25635714569044,3.8734367935999137,-0.1560966710575179,0.3027340832776041,74.69676540710027,23.94117697805944,0.4589672013920303,26.74152721664561,14.025472713273464,2.4002534882929645,119.64031587303155,67.67254131457052,-0.06122801145815987
arm,4839.973475668335,307714.2232870379,101120.72862891117,134280.86487365598,59294.184185520695,-14221.924446917503,-267.7780477121936,499428.61883814714,-2440.5511823646684,1624.3484566035254,1.915897576104233,1500174.30800476,-0.0025005577703957112,12.012152931256228,-0.10240479618278235,0.04809725559580848,6.428653210412717,111.671185680333,23.427033931298833,8.804282663228085,-21.479158276704993,-2.807785766217058,5.0102910671841485,1.0884134913281025,348.9652718791529,-3.3935583272886487,14.115723857391798,436.7385749648408,-7.966942986131384,5083.731693340347,8976.96871539247,-85.66938129530833,61.51490928963502
bites,-15.785715905794147,62.079332417029406,11454.714622731248,-1359.484963667987,-1368.066137333038,-9388.152820425097,-1372.9971407527603,-2969.6639542370617,-722.212717391265,-0.9104232227841802,-0.008387076209274166,-20061.04200748995,-0.00016417935614831437,-0.08329267109350781,0.0034066463305171824,0.02490393959379525,-0.030614215092382244,-0.5530640959810904,-0.14571432837028592,-0.018378060616486395,-13.641962927394507,-2.2472227301049914,-1.928227717115308,0.09299493341337627,-19.571000721449064,1.4877275722873873,-1.3441409264242405,-32.8733959619965,3.6870945037059,-95.40124286040788,-66.45972771542901,10.106965934347961,-0.7620165708114043
yogurt,133.4725819759039,2714.2462709219135,-2229.9167670047477,1242.5300807115364,164.27498590107894,22926.192012252573,8287.566335158423,6893.603091987262,124.26996705373335,17.467056949973482,0.15492148047290785,134259.86766506138,0.0006293075292235148,0.08397396670255627,0.04836017875469434,0.04478554517253564,0.26914193894672395,0.8891742911834664,0.8900577877363907,0.0964438902786241,4.913753646076303,1.0511209009026232,-0.10240464096582047,0.34266718544020075,174.96326855245468,49.45601282899692,-0.44777754752427185,24.934511982224073,12.988084816390053,192.98472868351857,367.13557232206483,27.25743660766171,1.2026034363857683
